timestamp,step,total_steps,joint1,joint2,joint3,joint4,joint5,joint6,speed,pause_time,capture_delay,image_path
2026-07-08T15:13:17,1,200,0.0,-64.0,154.9,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0001_j3_0154.9.png
2026-07-08T15:13:18,2,200,0.0,-64.0,154.8,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0002_j3_0154.8.png
2026-07-08T15:13:19,3,200,0.0,-64.0,154.7,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0003_j3_0154.7.png
2026-07-08T15:13:20,4,200,0.0,-64.0,154.6,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0004_j3_0154.6.png
2026-07-08T15:13:21,5,200,0.0,-64.0,154.5,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0005_j3_0154.5.png
2026-07-08T15:13:22,6,200,0.0,-64.0,154.4,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0006_j3_0154.4.png
2026-07-08T15:13:23,7,200,0.0,-64.0,154.3,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0007_j3_0154.3.png
2026-07-08T15:13:24,8,200,0.0,-64.0,154.2,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0008_j3_0154.2.png
2026-07-08T15:13:25,9,200,0.0,-64.0,154.1,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0009_j3_0154.1.png
2026-07-08T15:13:26,10,200,0.0,-64.0,154.0,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0010_j3_0154.0.png
2026-07-08T15:13:27,11,200,0.0,-64.0,153.9,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0011_j3_0153.9.png
2026-07-08T15:13:29,12,200,0.0,-64.0,153.8,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0012_j3_0153.8.png
2026-07-08T15:13:30,13,200,0.0,-64.0,153.7,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0013_j3_0153.7.png
2026-07-08T15:13:31,14,200,0.0,-64.0,153.6,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0014_j3_0153.6.png
2026-07-08T15:13:32,15,200,0.0,-64.0,153.5,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0015_j3_0153.5.png
2026-07-08T15:13:33,16,200,0.0,-64.0,153.4,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0016_j3_0153.4.png
2026-07-08T15:13:34,17,200,0.0,-64.0,153.3,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0017_j3_0153.3.png
2026-07-08T15:13:35,18,200,0.0,-64.0,153.2,-1.0,0.0,0.0,50,1.0,0.3,/home/hu/桌面/robot-arm-serial-control./captures/step_0018_j3_0153.2.png
